       psi        ni[m^-3]        ne[m^-3]       ti[eV]       te[eV]    we[rad/s]
4.814815E-01   3.355200E+19   4.090864E+19   2.197173E+03   1.802023E+03   1.000000E+00
4.834308E-01   3.350782E+19   4.085987E+19   2.190839E+03   1.798750E+03   1.000000E+00
4.853801E-01   3.346378E+19   4.081118E+19   2.184541E+03   1.795474E+03   1.000000E+00
4.873294E-01   3.341988E+19   4.076260E+19   2.178277E+03   1.792196E+03   1.000000E+00
4.892788E-01   3.337613E+19   4.071410E+19   2.172047E+03   1.788914E+03   1.000000E+00
4.912281E-01   3.333252E+19   4.066571E+19   2.165853E+03   1.785630E+03   1.000000E+00
4.931774E-01   3.328905E+19   4.061741E+19   2.159693E+03   1.782343E+03   1.000000E+00
4.951267E-01   3.324573E+19   4.056920E+19   2.153567E+03   1.779053E+03   1.000000E+00
4.970760E-01   3.320255E+19   4.052110E+19   2.147476E+03   1.775760E+03   1.000000E+00
4.990253E-01   3.315952E+19   4.047309E+19   2.141420E+03   1.772464E+03   1.000000E+00
5.009747E-01   3.311664E+19   4.042517E+19   2.135399E+03   1.769165E+03   1.000000E+00
5.029240E-01   3.307391E+19   4.037736E+19   2.129411E+03   1.765863E+03   1.000000E+00
5.048733E-01   3.303133E+19   4.032964E+19   2.123458E+03   1.762558E+03   1.000000E+00
5.068226E-01   3.298889E+19   4.028202E+19   2.117540E+03   1.759250E+03   1.000000E+00
5.087719E-01   3.294661E+19   4.023450E+19   2.111656E+03   1.755940E+03   1.000000E+00
5.107212E-01   3.290448E+19   4.018708E+19   2.105806E+03   1.752626E+03   1.000000E+00
5.126706E-01   3.286250E+19   4.013976E+19   2.099991E+03   1.749310E+03   1.000000E+00
5.146199E-01   3.282068E+19   4.009253E+19   2.094210E+03   1.745990E+03   1.000000E+00
5.165692E-01   3.277901E+19   4.004541E+19   2.088463E+03   1.742668E+03   1.000000E+00
5.185185E-01   3.273750E+19   3.999839E+19   2.082750E+03   1.739342E+03   1.000000E+00
5.204678E-01   3.269614E+19   3.995146E+19   2.077071E+03   1.736014E+03   1.000000E+00
5.224172E-01   3.265494E+19   3.990464E+19   2.071426E+03   1.732683E+03   1.000000E+00
5.243665E-01   3.261390E+19   3.985792E+19   2.065816E+03   1.729348E+03   1.000000E+00
5.263158E-01   3.257302E+19   3.981130E+19   2.060239E+03   1.726011E+03   1.000000E+00
5.282651E-01   3.253229E+19   3.976478E+19   2.054697E+03   1.722671E+03   1.000000E+00
5.302144E-01   3.249173E+19   3.971837E+19   2.049188E+03   1.719328E+03   1.000000E+00
5.321637E-01   3.245133E+19   3.967205E+19   2.043713E+03   1.715982E+03   1.000000E+00
5.341131E-01   3.241108E+19   3.962584E+19   2.038272E+03   1.712632E+03   1.000000E+00
5.360624E-01   3.237100E+19   3.957974E+19   2.032865E+03   1.709280E+03   1.000000E+00
